Price in Rupees,Company,series,color,Full HD,HD,ScreenSize(in cm),FWVGA,Other Displays,RAM,ROM,Expandable,Battery(in mAh),Brand,Model,Main_Camera_MP,Front_Camera_MP,Main_Camera_Count,Front_Camera_Count
13990.0,OPPO,A5,Dazzling White,0,0,16.51,0,1,3.0,32.0,128.0,5000.0,Qualcomm,SM6125,2,8,4,1
3999.0,Yu,Ace,Charcoal Grey,0,1,13.84,0,0,2.0,16.0,128.0,4000.0,Yu,MT6739WW,3,5,2,1
8999.0,Redmi,Note,Gold,1,1,15.21,0,0,4.0,64.0,128.0,4000.0,Qualcomm,625,2,5,2,1
8190.0,Redmi,6,Lake Blue,1,1,14.83,0,0,3.0,32.0,256.0,4000.0,Qualcomm,625,2,5,3,1
4999.0,Kult,Impulse,Blue,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
12990.0,OPPO,A7,Glaring Gold,0,1,15.75,0,0,3.0,64.0,256.0,4230.0,Qualcomm,450,3,6,3,1
22999.0,Redmi,K20,Carbon Black,1,1,16.23,0,0,3.0,32.0,128.0,4000.0,Qualcomm,730,8,0,4,1
26990.0,Vivo,V15,Topaz Blue,1,1,16.23,0,0,8.0,128.0,256.0,3700.0,Qualcomm,0GHz,8,2,3,1
19990.0,Vivo,V15,Ruby Red,1,1,16.23,0,0,6.0,128.0,256.0,3700.0,Qualcomm,0GHz,8,2,3,1
7999.0,Infinix,S4,Nebula Blue,0,1,15.77,0,0,3.0,32.0,256.0,4000.0,Infinix,Core,3,2,4,1
10799.0,Mi,A2,Red,1,1,15.21,0,0,3.0,32.0,128.0,3010.0,Qualcomm,AIE,0,0,3,1
4099.0,Lava,Z51,Gold,0,0,12.7,0,1,1.0,16.0,128.0,2550.0,SC,SC9832E,5,5,2,1
12999.0,Redmi,Note,Black,1,1,15.21,0,0,4.0,64.0,128.0,4000.0,Qualcomm,636,2,0,3,1
4999.0,Kult,Impulse,Black,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
49900.0,Apple,iPhone,Coral,0,0,15.49,0,1,3.0,32.0,128.0,3050.0,Apple,Apple,2,7,2,1
5290.0,Samsung,Galaxy,Dark Gray,0,1,12.7,0,0,1.0,16.0,256.0,2600.0,Exynos,7870,5,5,2,1
10695.0,Redmi,Y3,Bold Red,0,1,15.9,0,0,4.0,64.0,512.0,4000.0,Qualcomm,632,2,2,3,1
4999.0,Kult,Impulse,Blue,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
5290.0,Samsung,Galaxy,Gold,0,1,12.7,0,0,1.0,16.0,256.0,2600.0,Exynos,7870,5,5,2,1
3849.0,Meizu,C9,Gold,1,1,13.84,0,0,2.0,16.0,128.0,3000.0,Meizu,Core,3,8,2,1
9499.0,Samsung,Galaxy,Black,0,1,15.75,0,0,3.0,32.0,512.0,4000.0,MediaTek,MT6762,3,8,3,1
12999.0,Honor,8X,Blue,1,1,16.51,0,0,6.0,64.0,512.0,3750.0,Honor,Core,0,6,3,1
22999.0,Redmi,K20,Pearl White,1,1,16.23,0,0,3.0,32.0,128.0,4000.0,Qualcomm,730,8,0,4,1
3899.0,Karbonn,Aura,Champagne,0,0,12.7,0,1,1.0,16.0,32.0,4000.0,Mediatek,Mediatek,5,5,2,1
9499.0,Samsung,Galaxy,Blue,0,1,15.75,0,0,3.0,32.0,512.0,4000.0,MediaTek,MT6762,3,8,3,1
11999.0,Redmi,Note,Red,1,1,15.9,0,0,4.0,64.0,256.0,4000.0,Qualcomm,636,2,0,4,0
8999.0,Redmi,Y2,Black,0,1,15.21,0,0,3.0,32.0,256.0,3080.0,Qualcomm,625,2,6,3,1
